pm,dm,ps,r
38,69,297,Unknown
2,7,11,ca
56,78,136,cee
283,316,431,ea
268,250,373,lac
24,54,78,mena
185,213,274,na
214,244,272,sa
49,77,101,seap
27,40,50,ssa
72,95,119,we
